총곗수,시간,체결가,대비,추정NAV,기초지수,거래량(주),순간거래량(주)
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,469","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,936,468","9,425"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,927,043","1"
30672,"09:29:50","4,800","-25","4,803.78","1,739.10","7,927,042","1"
30672,"09:29:50","4,800","-25","4,803.11","1,739.10","7,927,041","1"
30672,"09:29:50","4,800","-25","4,803.11","1,739.10","7,927,040","7,240"
30672,"09:29:50","4,800","-25","4,803.11","1,739.10","7,919,800","1"
30672,"09:29:50","4,800","-25","4,803.11","1,739.10","7,919,799","1"
30672,"09:29:50","4,800","-25","4,803.11","1,739.10","7,919,798","6,203"
30672,"09:29:50","4,800","-25","4,803.11","1,739.10","7,913,595","1"
30672,"09:29:50","4,800","-25","4,803.11","1,739.10","7,913,594","1"
30672,"09:29:50","4,800","-25","4,803.11","1,739.10","7,913,593","10,977"
30672,"09:29:49","4,800","-25","4,803.11","1,739.10","7,902,616","1"
30672,"09:29:49","4,800","-25","4,803.11","1,739.10","7,902,615","1"
30672,"09:29:49","4,800","-25","4,803.11","1,739.10","7,902,614","1"
30672,"09:29:49","4,800","-25","4,803.11","1,739.10","7,902,613","1"
30672,"09:29:49","4,800","-25","4,803.11","1,739.10","7,902,612","10"
30672,"09:29:48","4,800","-25","4,803.11","1,739.10","7,902,602","1,013"
30672,"09:29:48","4,800","-25","4,803.11","1,739.10","7,901,589","987"
30672,"09:29:47","4,795","-30","4,803.11","1,739.10","7,900,602","10"
30672,"09:29:47","4,800","-25","4,803.11","1,739.10","7,900,592","10"
30672,"09:29:44","4,800","-25","4,803.11","1,739.35","7,900,582","1"
30672,"09:29:44","4,800","-25","4,803.11","1,739.35","7,900,581","1"
30672,"09:29:44","4,800","-25","4,803.11","1,739.35","7,900,580","1"
30672,"09:29:44","4,800","-25","4,803.11","1,739.35","7,900,579","1"
30672,"09:29:44","4,800","-25","4,803.11","1,739.35","7,900,578","1"
30672,"09:29:44","4,800","-25","4,803.11","1,739.35","7,900,577","100"
30672,"09:29:43","4,800","-25","4,803.11","1,739.10","7,900,477","850"
30672,"09:29:40","4,800","-25","4,800.35","1,739.10","7,899,627","1"
30672,"09:29:40","4,800","-25","4,800.35","1,739.10","7,899,626","12,392"
30672,"09:29:40","4,800","-25","4,800.35","1,739.10","7,887,234","1"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,887,233","8,000"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,879,233","1,431"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,877,802","100"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,877,702","900"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,876,802","500"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,876,302","700"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,875,602","10"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,875,592","100"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,875,492","1,000"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,874,492","900"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,873,592","37"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,873,555","13,386"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,860,169","55,000"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,805,169","31,614"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,773,555","7,000"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,766,555","100"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,766,455","100"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,766,355","30"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,766,325","10,000"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,756,325","5"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,756,320","30"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,756,290","100"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,756,190","1"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,756,189","10"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,756,179","1"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,756,178","30"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,756,148","279"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,755,869","5,000"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,750,869","100"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,750,769","500"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,750,269","100"
30672,"09:29:38","4,800","-25","4,800.38","1,738.86","7,750,169","5"
30672,"09:29:29","4,800","-25","4,799.69","1,739.35","7,750,164","2,000"
30672,"09:29:27","4,800","-25","4,799.69","1,739.60","7,748,164","5"
30672,"09:29:10","4,800","-25","4,799.66","1,739.10","7,748,159","100"
30672,"09:29:10","4,800","-25","4,799.66","1,739.10","7,748,059","10"
30672,"09:29:06","4,800","-25","4,800.35","1,739.35","7,748,049","391"
30672,"09:29:04","4,795","-30","4,800.35","1,739.60","7,747,658","1,269"
30672,"09:29:02","4,800","-25","4,799.64","1,739.60","7,746,389","500"
30672,"09:28:59","4,795","-30","4,799.69","1,739.35","7,745,889","140"
30672,"09:28:54","4,795","-30","4,799.00","1,739.35","7,745,749","5,842"
30672,"09:28:53","4,800","-25","4,799.00","1,739.60","7,739,907","1"
30672,"09:28:51","4,795","-30","4,799.66","1,739.60","7,739,906","5"
30672,"09:28:50","4,795","-30","4,799.66","1,739.60","7,739,901","11"
30672,"09:28:47","4,795","-30","4,801.02","1,739.60","7,739,890","3,001"
30672,"09:28:37","4,795","-30","4,801.76","1,739.84","7,736,889","407"
30672,"09:28:35","4,795","-30","4,801.76","1,740.09","7,736,482","80"
30672,"09:28:33","4,800","-25","4,802.42","1,740.34","7,736,402","500"
30672,"09:28:32","4,800","-25","4,802.42","1,740.34","7,735,902","2"
30672,"09:28:31","4,795","-30","4,802.42","1,740.09","7,735,900","10"
30672,"09:28:29","4,800","-25","4,803.11","1,740.09","7,735,890","10"
30672,"09:28:28","4,800","-25","4,803.11","1,740.09","7,735,880","2"
30672,"09:28:23","4,800","-25","4,803.11","1,740.09","7,735,878","100"
30672,"09:28:22","4,800","-25","4,803.11","1,740.09","7,735,778","208"
30672,"09:28:20","4,800","-25","4,802.45","1,739.60","7,735,570","50"
30672,"09:28:18","4,800","-25","4,802.45","1,739.10","7,735,520","1"
30672,"09:28:17","4,800","-25","4,802.45","1,739.10","7,735,519","10"
30672,"09:28:12","4,800","-25","4,802.45","1,739.10","7,735,509","50"
30672,"09:28:10","4,800","-25","4,802.42","1,738.86","7,735,459","3,574"
30672,"09:28:10","4,800","-25","4,802.42","1,738.86","7,731,885","1"
30672,"09:28:09","4,800","-25","4,802.42","1,738.86","7,731,884","10"
30672,"09:28:09","4,800","-25","4,802.42","1,738.86","7,731,874","1"
30672,"09:28:09","4,800","-25","4,802.42","1,738.86","7,731,873","180"
30672,"09:28:09","4,800","-25","4,802.42","1,738.86","7,731,693","21"
30672,"09:28:09","4,800","-25","4,802.42","1,738.86","7,731,672","1"
30672,"09:28:09","4,800","-25","4,802.42","1,738.86","7,731,671","104"
30672,"09:28:09","4,800","-25","4,802.42","1,738.86","7,731,567","50"
30672,"09:28:09","4,800","-25","4,802.42","1,738.86","7,731,517","6,816"
30672,"09:28:07","4,800","-25","4,801.02","1,738.86","7,724,701","100"
30672,"09:28:04","4,800","-25","4,800.35","1,738.86","7,724,601","1"
30672,"09:28:04","4,800","-25","4,800.35","1,738.86","7,724,600","1"
30672,"09:28:03","4,800","-25","4,800.35","1,738.86","7,724,599","1,000"
30672,"09:27:58","4,800","-25","4,802.40","1,739.35","7,723,599","100"
30672,"09:27:58","4,800","-25","4,802.40","1,739.35","7,723,499","100"
30672,"09:27:58","4,800","-25","4,802.40","1,739.35","7,723,399","506"
